"Order time","Pickup address","Ride price","Booking fee","Toll fee","Cancellation fee","Tip","Currency","Payment method","Payment time","Distance","State"
"11.02.2023 11:06","Mbagathi Road, Nairobi","300.00","14.27","0.00","0.00","0.00","Ksh","Cash","11.02.2023 11:20","6.00","Finished"
"11.02.2023 10:44","Magadi Road, Nairobi","450.00","21.38","0.00","0.00","0.00","Ksh",Bolt Payment,"11.02.2023 11:06","9.00","Finished"
"11.02.2023 09:31","Mlolongo, Kenya","990.00","47.37","0.00","0.00","0.00","Ksh","Cash","11.02.2023 10:29","23.00","Finished"
"11.02.2023 07:50","Nairobi, Kenya","620.00","24.58","100.00","0.00","0.00","Ksh","Cash","11.02.2023 08:19","12.00","Finished"
"11.02.2023 07:22","Green Court, Nairobi","400.00","19.09","0.00","0.00","0.00","Ksh","Cash","11.02.2023 07:48","8.00","Finished"
"10.02.2023 19:34","Old Mombasa Road, Nairobi","360.00","16.96","0.00","0.00","0.00","Ksh","Cash","10.02.2023 19:46","5.00","Finished"
"10.02.2023 16:37","Diani Road 5219, Nairobi","1240.00","56.02","0.00","0.00","0.00","Ksh","Cash","10.02.2023 18:03","28.00","Finished"
"10.02.2023 16:02","Karen CrossRoads Mall, Nairobi","410.00","19.42","0.00","0.00","0.00","Ksh","Cash","10.02.2023 16:27","11.00","Finished"
"10.02.2023 15:21","Mombasa Road, Nairobi","850.00","38.84","0.00","0.00","0.00","Ksh","Cash","10.02.2023 15:59","25.00","Finished"
"10.02.2023 15:01","Airport North Road, Nairobi","420.00","20.19","0.00","0.00","0.00","Ksh","Cash","10.02.2023 15:21","10.00","Finished"
"10.02.2023 14:37","Mankuli Road, Nairobi","440.00","21.07","0.00","0.00","0.00","Ksh","Cash","10.02.2023 15:00","10.00","Finished"
"10.02.2023 13:45","Amani Court, Nairobi","590.00","23.43","100.00","0.00","0.00","Ksh","Cash","10.02.2023 14:25","10.00","Finished"
"10.02.2023 12:49","General Waruingi Street, Nairobi","450.00","21.27","0.00","0.00","0.00","Ksh","Cash","10.02.2023 13:16","10.00","Finished"
"10.02.2023 11:10","Ngong Road, Nairobi","1430.00","66.64","0.00","0.00","0.00","Ksh","Cash","10.02.2023 12:49","36.00","Finished"
"10.02.2023 10:31","Mtama Road 89200, Nairobi","380.00","18.07","0.00","0.00","0.00","Ksh","Cash","10.02.2023 11:03","8.00","Finished"
"10.02.2023 09:38","United Nations Avenue, Nairobi","670.00","31.87","0.00","0.00","0.00","Ksh","Cash","10.02.2023 10:31","17.00","Finished"
"10.02.2023 07:46","Donholm Road, Nairobi","790.00","36.79","0.00","0.00","0.00","Ksh","Cash","10.02.2023 08:48","16.00","Finished"
"09.02.2023 21:19","Galleria Shopping Mall, Nairobi","300.00","11.99","50.00","0.00","0.00","Ksh","Cash","09.02.2023 21:39","4.00","Finished"
"09.02.2023 20:43","Langata Road, Nairobi","300.00","14.40","0.00","0.00","0.00","Ksh","Cash","09.02.2023 20:58","1.00","Finished"
"09.02.2023 20:20","Street Elizabeth 77, Nairobi","350.00","16.49","0.00","0.00","0.00","Ksh","Cash","09.02.2023 20:41","7.00","Finished"
"09.02.2023 19:16","Shell Petrol Station Lavington, Nairobi","520.00","24.84","0.00","0.00","0.00","Ksh","Cash","09.02.2023 19:43","12.00","Finished"
"09.02.2023 18:42","Muringa Road, Nairobi","270.00","12.86","0.00","0.00","0.00","Ksh","Cash","09.02.2023 18:59","4.00","Finished"
"09.02.2023 18:28","Jabavu Road, Nairobi","210.00","10.16","0.00","0.00","0.00","Ksh","Cash","09.02.2023 18:40","2.00","Finished"
"09.02.2023 18:00","Delta Corner Road Delta Corner, Nairobi","290.00","14.01","0.00","0.00","0.00","Ksh","Cash","09.02.2023 18:29","6.00","Finished"
"09.02.2023 17:34","Four Points by Sheraton Nairobi Hurlingham, Nairobi, Kenya","360.00","17.26","0.00","0.00","0.00","Ksh","Cash","09.02.2023 18:01","7.00","Finished"
"09.02.2023 16:00","Kauria Close, Nairobi","260.00","12.55","0.00","0.00","0.00","Ksh","Cash","09.02.2023 16:25","3.00","Finished"
"09.02.2023 14:09","Limuru Road , Two Rivers Mall","1350.00","59.26","50.00","0.00","0.00","Ksh","Cash","09.02.2023 15:49","26.00","Finished"
"09.02.2023 13:40","Kiambu Road, Nairobi","450.00","21.60","0.00","0.00","0.00","Ksh","Cash","09.02.2023 14:05","10.00","Finished"
"09.02.2023 13:10","Nairobi, Kenya","360.00","17.06","0.00","0.00","0.00","Ksh","Cash","09.02.2023 13:39","7.00","Finished"
"09.02.2023 12:32","Eastleigh 1st Avenue, Nairobi","430.00","20.37","0.00","0.00","0.00","Ksh","Cash","09.02.2023 13:07","10.00","Finished"
"09.02.2023 11:39","Kapiti Road, Nairobi","380.00","18.24","0.00","0.00","0.00","Ksh","Cash","09.02.2023 12:06","6.00","Finished"
"09.02.2023 11:02","Ngong Road Bayswater Apartment, Nairobi","240.00","11.50","0.00","0.00","0.00","Ksh","Cash","09.02.2023 11:24","3.00","Finished"
"09.02.2023 10:07","Beya Beya Flats, Mai Mahiu Road, Nairobi, Kenya","280.00","13.32","0.00","0.00","0.00","Ksh","Cash","09.02.2023 10:23","5.00","Finished"
"09.02.2023 08:55","Pangani, Nairobi","350.00","16.76","0.00","0.00","0.00","Ksh","Cash","09.02.2023 09:25","9.00","Finished"
"09.02.2023 08:27","Moi Avenue Moi Avenue, Nairobi","260.00","12.47","0.00","0.00","0.00","Ksh","Cash","09.02.2023 08:49","5.00","Finished"
"09.02.2023 07:37","Mombasa Road Vision Plaza, Nairobi","440.00","21.15","0.00","0.00","0.00","Ksh","Cash","09.02.2023 08:28","7.00","Finished"
"09.02.2023 06:58","Donholm, Nairobi","430.00","20.43","0.00","0.00","0.00","Ksh","Cash","09.02.2023 07:32","8.00","Finished"
"06.02.2023 18:36","Total Rosslyn, Nairobi","560.00","26.62","0.00","0.00","0.00","Ksh","Cash","06.02.2023 19:04","13.00","Finished"
"06.02.2023 17:18","Thindigua Highway Street","470.00","22.51","0.00","0.00","0.00","Ksh","Cash","06.02.2023 17:58","11.00","Finished"
"06.02.2023 16:12","PLNS-Learning Center, Getathuru Road, Wangige, Kenya","740.00","34.89","0.00","0.00","0.00","Ksh","Cash","06.02.2023 17:17","16.00","Finished"
