"Pickup address";"Ride price";"Booking fee";"Tip";"Payment method";"Distance";"Order date";"Time of Order";"Payment date";"Time of Payment"
"Greystone apartments, Mtama Road, Nairobi, Kenya";500.0;23.67;0.0;"Cash";11.0;"2023-01-22";"19:43:00";"2023-01-22";"20:07:00"
"9th Street, Nairobi, Kenya";400.0;19.2;0.0;"Cash";7.0;"2023-01-22";"19:07:00";"2023-01-22";"19:41:00"
"Limuru Road , Two Rivers Mall";760.0;33.48;0.0;"Cash";14.0;"2023-01-22";"17:53:00";"2023-01-22";"19:03:00"
"Limuru Road, Nairobi";660.0;31.26;0.0;"Cash";14.0;"2023-01-22";"15:36:00";"2023-01-22";"16:18:00"
"Ole Villas, Nairobi";630.0;27.6;0.0;"Cash";13.0;"2023-01-22";"14:11:00";"2023-01-22";"14:48:00"
"Nairobi, Kenya";490.0;22.96;0.0;"Cash";11.0;"2023-01-22";"13:34:00";"2023-01-22";"14:04:00"
"Likoni Road, Nairobi";230.0;10.92;0.0;"Cash";4.0;"2023-01-22";"13:20:00";"2023-01-22";"13:34:00"
"Golf View Apartments, Mucai Drive, Nairobi";410.0;19.52;0.0;"Cash";9.0;"2023-01-22";"12:58:00";"2023-01-22";"13:19:00"
"Nairobi Baptist Church, Ngong Road, Nairobi";190.0;9.0;0.0;"Cash";1.0;"2023-01-22";"12:27:00";"2023-01-22";"12:37:00"
"Beatriz La Roca Apartments, Nairobi, Kenya";790.0;37.45;0.0;"Cash";18.0;"2023-01-22";"11:44:00";"2023-01-22";"12:24:00"
"Lumumba Drive, Nairobi";240.0;11.63;0.0;"Cash";4.0;"2023-01-22";"11:31:00";"2023-01-22";"11:44:00"
"East Church Road, Nairobi";630.0;29.84;0.0;"Cash";16.0;"2023-01-22";"10:58:00";"2023-01-22";"11:29:00"
"Umoja, Nairobi";690.0;32.33;0.0;"Cash";16.0;"2023-01-22";"10:27:00";"2023-01-22";"10:57:00"
"Akila Police Post, Nairobi";560.0;26.39;0.0;"Cash";13.0;"2023-01-22";"10:01:00";"2023-01-22";"10:26:00"
"House of Leather and Gifts, Kilimani Road, Nairobi";410.0;19.14;0.0;"Cash";8.0;"2023-01-22";"09:40:00";"2023-01-22";"09:58:00"
"Sonia Lane, Nairobi";460.0;21.48;0.0;"Cash";9.0;"2023-01-22";"09:07:00";"2023-01-22";"09:29:00"
"Mama Wahu Road, Nairobi";450.0;21.04;0.0;"Cash";9.0;"2023-01-22";"08:11:00";"2023-01-22";"08:27:00"
"Equity Bank Donholm, Nairobi, Kenya";860.0;39.07;0.0;"Cash";22.0;"2023-01-22";"07:28:00";"2023-01-22";"08:04:00"
"Thika Road, Nairobi";640.0;30.28;0.0;"Cash";14.0;"2023-01-21";"18:15:00";"2023-01-21";"18:55:00"
"Huruma Road 15, Nairobi";360.0;17.04;0.0;"Cash";5.0;"2023-01-21";"16:28:00";"2023-01-21";"17:01:00"
"Muindi Mbingu Street, Nairobi";470.0;22.42;0.0;"Cash";9.0;"2023-01-21";"16:02:00";"2023-01-21";"16:32:00"
"Ofafa, Nairobi";520.0;24.94;0.0;"Cash";12.0;"2023-01-21";"12:23:00";"2023-01-21";"13:08:00"
"Doonholm Road, Nairobi";250.0;11.61;0.0;"Cash";3.0;"2023-01-21";"10:51:00";"2023-01-21";"11:22:00"
"Rabai Road, Nairobi";340.0;16.13;0.0;"Cash";7.0;"2023-01-21";"09:27:00";"2023-01-21";"09:58:00"
"Sumba Road, Nairobi";520.0;24.61;0.0;"Cash";12.0;"2023-01-21";"08:38:00";"2023-01-21";"09:10:00"
"Park Road, Nairobi";280.0;13.17;0.0;"Cash";6.0;"2023-01-21";"08:17:00";"2023-01-21";"08:34:00"
